01110000|WHEAT|0111|WHEAT|0|11114|WHEAT FARMING
01110101|WHEAT, GROWERS|0111|WHEAT|0|11114|WHEAT FARMING
01120000|RICE|0112|RICE|0|11116|RICE FARMING
01150000|CORN|0115|CORN|0|11115|CORN FARMING
01150101|CORN, GROWING|0115|CORN|0|11115|CORN FARMING
01160000|SOYBEANS|0116|SOYBEANS|0|11111|SOYBEAN FARMING
01160101|SOYBEANS, GROWERS|0116|SOYBEANS|0|11111|SOYBEAN FARMING
01190000|CASH GRAINS|0119|CASH GRAINS|0|1111|OILSEED AND GRAIN FARMING
01190100|PEA AND BEAN FARMS, DRY (LEGUMES)|0119|CASH GRAINS|0|11113|DRY PEA AND BEAN FARMING
01190101|BEAN (DRY FIELD AND SEED) FARM|0119|CASH GRAINS|0|11113|DRY PEA AND BEAN FARMING
01190102|COWPEA FARM|0119|CASH GRAINS|0|11113|DRY PEA AND BEAN FARMING
01190103|LENTIL FARM|0119|CASH GRAINS|0|11113|DRY PEA AND BEAN FARMING
01190104|MUSTARD SEED FARM|0119|CASH GRAINS|0|11113|DRY PEA AND BEAN FARMING
01190200|FEEDER GRAINS|0119|CASH GRAINS|0|111199|ALL OTHER GRAIN FARMING
01190201|EMMER FARM|0119|CASH GRAINS|0|111199|ALL OTHER GRAIN FARMING
01190202|MILO FARM|0119|CASH GRAINS|0|111199|ALL OTHER GRAIN FARMING
01190203|OAT FARM|0119|CASH GRAINS|0|111199|ALL OTHER GRAIN FARMING
01190300|OIL GRAINS|0119|CASH GRAINS|0|111199|ALL OTHER GRAIN FARMING
01190301|FLAXSEED FARM|0119|CASH GRAINS|0|111199|ALL OTHER GRAIN FARMING
01190302|SAFFLOWER FARM|0119|CASH GRAINS|0|111199|ALL OTHER GRAIN FARMING
01190303|SUNFLOWER FARM|0119|CASH GRAINS|0|111199|ALL OTHER GRAIN FARMING
01190400|CEREAL CROP FARMS|0119|CASH GRAINS|0|111199|ALL OTHER GRAIN FARMING
01190401|BARLEY FARM|0119|CASH GRAINS|0|111199|ALL OTHER GRAIN FARMING
01190402|BUCKWHEAT FARM|0119|CASH GRAINS|0|111199|ALL OTHER GRAIN FARMING
01190403|RYE FARM|0119|CASH GRAINS|0|111199|ALL OTHER GRAIN FARMING
01190404|SORGHUM FARM|0119|CASH GRAINS|0|111199|ALL OTHER GRAIN FARMING
01199900|CASH GRAINS, NEC, NEC|0119|CASH GRAINS|0|1111|OILSEED AND GRAIN FARMING
01199901|POPCORN FARM|0119|CASH GRAINS|0|11115|CORN FARMING
01310000|COTTON|0131|COTTON|0|11192|COTTON FARMING
01319900|COTTON, NEC|0131|COTTON|0|11192|COTTON FARMING
01319901|COTTONSEED FARM|0131|COTTON|0|11192|COTTON FARMING
01320000|TOBACCO|0132|TOBACCO|0|11191|TOBACCO FARMING
01330000|SUGARCANE AND SUGAR BEETS|0133|SUGARCANE AND SUGAR BEETS|0|111991|SUGAR BEET FARMING
01339900|SUGARCANE AND SUGAR BEETS, NEC|0133|SUGARCANE AND SUGAR BEETS|0|111991|SUGAR BEET FARMING
01339901|SUGAR BEET FARM|0133|SUGARCANE AND SUGAR BEETS|0|111991|SUGAR BEET FARMING
01339902|SUGARCANE FARM|0133|SUGARCANE AND SUGAR BEETS|0|11193|SUGARCANE FARMING
01340000|POTATOES, IRISH|0134|POTATOES, IRISH|0|111211|POTATO FARMING
01390000|FIELD CROPS, EXCEPT CASH GRAIN|0139|FIELD CROPS, EXCEPT CASH GRAIN|0|111199|ALL OTHER GRAIN FARMING
01390100|FEEDER CROPS|0139|FIELD CROPS, EXCEPT CASH GRAIN|0|111998|ALL OTHER MISCELLANEOUS CROP FARMING
01390101|ALFALFA FARM|0139|FIELD CROPS, EXCEPT CASH GRAIN|0|111998|ALL OTHER MISCELLANEOUS CROP FARMING
01390102|CLOVER FARM|0139|FIELD CROPS, EXCEPT CASH GRAIN|0|111998|ALL OTHER MISCELLANEOUS CROP FARMING
01390103|GRASS SEED FARM|0139|FIELD CROPS, EXCEPT CASH GRAIN|0|111219|OTHER VEGETABLE (EXCEPT POTATO) AND MELON FARMING
01390104|HAY FARM|0139|FIELD CROPS, EXCEPT CASH GRAIN|0|11194|HAY FARMING
01390105|TIMOTHY FARM|0139|FIELD CROPS, EXCEPT CASH GRAIN|0|11194|HAY FARMING
01390200|FOOD CROPS|0139|FIELD CROPS, EXCEPT CASH GRAIN|0|111|CROP PRODUCTION
01390201|PEANUT FARM|0139|FIELD CROPS, EXCEPT CASH GRAIN|0|111992|PEANUT FARMING
01390202|SWEET POTATO FARM|0139|FIELD CROPS, EXCEPT CASH GRAIN|0|111219|OTHER VEGETABLE (EXCEPT POTATO) AND MELON FARMING
01399900|FIELD CROPS, EXCEPT CASH GRAINS, NEC, NEC|0139|FIELD CROPS, EXCEPT CASH GRAIN|0|111199|ALL OTHER GRAIN FARMING
01399901|BROOMCORN FARM|0139|FIELD CROPS, EXCEPT CASH GRAIN|0|111998|ALL OTHER MISCELLANEOUS CROP FARMING
01399902|FLAX FARM|0139|FIELD CROPS, EXCEPT CASH GRAIN|0|111998|ALL OTHER MISCELLANEOUS CROP FARMING
01399903|HOP FARM|0139|FIELD CROPS, EXCEPT CASH GRAIN|0|111998|ALL OTHER MISCELLANEOUS CROP FARMING
01399904|MINT FARM|0139|FIELD CROPS, EXCEPT CASH GRAIN|0|111998|ALL OTHER MISCELLANEOUS CROP FARMING
01399905|HERB OR SPICE FARM|0139|FIELD CROPS, EXCEPT CASH GRAIN|0|111998|ALL OTHER MISCELLANEOUS CROP FARMING
01610000|VEGETABLE AND MELONS|0161|VEGETABLE AND MELONS|0|111219|OTHER VEGETABLE (EXCEPT POTATO) AND MELON FARMING
01610100|MELON FARMS|0161|VEGETABLE AND MELONS|0|111219|OTHER VEGETABLE (EXCEPT POTATO) AND MELON FARMING
01610101|CANTALOUPE FARM|0161|VEGETABLE AND MELONS|0|111219|OTHER VEGETABLE (EXCEPT POTATO) AND MELON FARMING
01610102|CRENSHAW MELON FARM|0161|VEGETABLE AND MELONS|0|111219|OTHER VEGETABLE (EXCEPT POTATO) AND MELON FARMING
01610103|HONEYDEW MELON FARM|0161|VEGETABLE AND MELONS|0|111219|OTHER VEGETABLE (EXCEPT POTATO) AND MELON FARMING
01610104|WATERMELON FARM|0161|VEGETABLE AND MELONS|0|111219|OTHER VEGETABLE (EXCEPT POTATO) AND MELON FARMING
01610200|PEA AND BEAN FARMS, EXCEPT DRY|0161|VEGETABLE AND MELONS|0|111219|OTHER VEGETABLE (EXCEPT POTATO) AND MELON FARMING
01610201|ENGLISH PEA FARM|0161|VEGETABLE AND MELONS|0|111219|OTHER VEGETABLE (EXCEPT POTATO) AND MELON FARMING
01610202|LIMA BEAN FARM, GREEN|0161|VEGETABLE AND MELONS|0|111219|OTHER VEGETABLE (EXCEPT POTATO) AND MELON FARMING
01610203|PEA FARM, GREEN (EXCEPT DRY PEAS)|0161|VEGETABLE AND MELONS|0|111219|OTHER VEGETABLE (EXCEPT POTATO) AND MELON FARMING
01610204|SNAP BEAN FARM (BUSH AND POLE)|0161|VEGETABLE AND MELONS|0|111219|OTHER VEGETABLE (EXCEPT POTATO) AND MELON FARMING
